1,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R ,,REFERENCE VALUES,TOOLTIPS and REFERENCES,
2,,,"The Targeting EUI Calculator BETA v3.037 | (for use with MS Excel Only. Arctic Edition)",,,2025.04.10,,,,"Blue = Required User Input Cells | Plum = Defaults but Editable | Black = Locked - Calculated | Red = Reference Values",,,,,,,,,,,
3,,,,,,,,,,,,,,,"Actual Energy Costs $/yr",,"Reference Energy Costs $/yr",,OBC SB12 3.1.1.2.C4,"Calculated Field: by taking the sum of the Electricity, Gas and Oil based energy use from utility bills in terms of equivalent Kilowatt-hours and dividing the sum by 277.7777 to convert to Gigajoules as recommended by the proposed National Energy Step Code (NBC). The National Average from 2015 is 203kWh/m2 and so the percentage based result reflects this National Average",
4,,SECTION 1. Key Values,,Reference,,,Target,,,Actual ,,,,," $17,281.94 ",electricity," $11,711.06 ",,,B.1 Major Occupancy: Blog on this topic:  https://openbuilding.ca/2024/06/23/teui-b-1-major-occupancy/,
5,,Lifetime Emissions Intensity kgCO2e/m2/Service Life (Yrs),,Reference,100% (Baseline),,Targeted (Design) ,71% Reduction,,Actual (Utility Bills),,Reference %,,, $-   ,gas," $11,434.96 ",,,S.1 Compliance Standard: Blog on this topic:  https://openbuilding.ca/2024/06/23/teui-s-1-compliance-standard/,
6,T.1,Lifetime Carbon,,40.6,,,11.7,,,11.7,,N/A,,, $-   ,propane, $-   ,,0,,
7,,Annual Operational Emissions Intensity kgCO2e/m2,,Reference,100% (Baseline),,Targeted (Design) ,86% Reduction,,Actual (Utility Bills),,,,, $-   ,oil, $-   ,,,,
8,T.2,Annual Carbon,,33.6,,,4.7,,,4.8,,14%,,, $-   ,wood, $-   ,,15,G9: Calculated Field: A summary of operational GHGe in terms of carbon equivalency in kgCO2e/m2/yr. Different regions will have different carbon footprints based on the carbon intensity of electricity production. Net Zero = 0 MTCO2e in this field. Negative Numbers are Carbon Positive - indicating buildings that are producing more energy than they consume.,
9,,Total Annual Operational Energy Use Intensity kWh/m2/yr,,Reference,100% (Baseline),$ 16.22/m2,Targeted (Design) ,59% Reduction,,Actual (Utility Bills),$ 12.11/m2,Reference %,,," $17,281.94 ",Total/yr," $23,146.01 ",, Fix. Avg. Ref Below ,,
10,T.3,TEUI,,226.9,tier1,,93.0,tier3,,93.1,,41%,,,,,,, 276.50 ,,
11,,SECTION 2. Building Information,,,,,,,,T.6.7 Cost of Energy by Source,,,,,$/yr Savings of Proposed,," $5,864.07 ",,,,
12,B.1,Major Occupancy,A - Assembly,,D.1,Reporting Period,2022,,,Electricity,$0.1300,/kWh,,ⓘ,Savings over Service Life,," $293,203.67 ",,," Be sure to include HST, Reg, Debt Retirement and Distribution Charges",
13,S.1,Reference Standard,OBC SB12 3.1.1.2.C4,,D.2,Service Life (yrs),50,,,Gas,$0.5070,Gas/m3,,ⓘ,ⓘ,,,,OBC Prescriptive Path for HP,,
14,S.2,Actual (Bills) or Targeted (Design) Use,Utility Bills,,B.2,Project Name,Your Project Name,,,Propane,$1.6200,Propane/kg,,ⓘ,,,,,,,
15,S.3,Carbon Benchmarking Standard,Self Reported,,B.3,Conditioned Area,"1,427.20", (Net m2),,Wood,$180.00,Wood/m3,,ⓘ,ⓘ,,,,,,
16,S.4,Embodied Carbon Target,345.82,kgCO2e/m2,A.1,Certifier:,"Your Company Name, Inc.",,,Oil,$1.5000,Oil/litre,,,,,,,,B.3 Conditioned Area: Blog on this topic:  https://openbuilding.ca/2024/06/23/teui-b-3-conditioned-area/ - measured from interior face of exterior enclosure,
17,,,,,A.2,Licence No:,XXXX,,,,,,,,,,,,,,
18,,SECTION 3. Climate Calculations,ºC,ºF,,,ºC,ºF,,,,Reference,,,,,,,,,
19,L.1.1,Province,ON,,L.1.2,City,Alexandria,Climate Zone,6.0,L.3.3,Days Cooling,120,,,,,,,,,
20,L.2.1,Heating Degree Days (HDD),4600,,L.2.2,Current or Future Values,Present,,HDD Reference Lookup,,HDD - Energy Star,,,,,,,,,User Defined Field: All values min. required by the noted reference standard Table 1.2 of the OBC SB-1,
21,L.2.3,Cooling Degree Days (CDD),196,,G.4.2,Capacitance,Capacitance,50%,CDD Reference Lookup,,CDD - Energy Star,,,,,,,,,"If CDDfuture shows 666, User must lookup CDD for 2021-2050 Mean Ensemble CDD as NBC has NOT provided these values in the NBC 2025 C2 Reference Table",
22,L.2.4,Ground Facing GF HDD,1960,,L.2.5,GF CDD,-1680,,,,,,,,,,,,,"Method to determine heatloss of elements facing ground, 8ºC ground to 18ºC Interior",
23,L.3.1,Coldest Days (Location Specific),-26,-22,B.1.2,Tset Heating,18,66,,,,122%,,,,,,,22,January 2.5 percentile Coldest Days per Location,
24,L.3.2,Hottest Days (Location Specific),34,98,B.1.3,Tset Cooling,24,78,,,,108%,,,,,,,26,July 2.5 percentile Hottest Days per Location,
25,,,,,,,,,,,,,,,,,,,,,
26,,SECTION 4. Actual vs. Target Energy & Carbon,"ACTUAL ENERGY (Utility Bills)",,"ACTUAL NET ekWh","E.1 EMISSIONS kgCO2/yr","TARGET ENERGY (Design)",,"TARGET NET ekWh","E.1 EMISSIONS kgCO2/yr","EMISSION FACTORS per Reporting Period/TAF ",,,ⓘ,C.1 Carbon Tax (Repealed 2025),,,,,Calculated Field:  Energy Use Intensity takes the sum of all Energy Consumption and divides this by the Building Size. The National Average from 2015 is 203kWh/m2 and so the percentage is relative to 203.,
27,T.3.1,Total Electricity Use,"132,938.00",kWh/yr,"132,938.00","6,779.84","132,765.65",kWh/yr,"132,765.65","6,771.05",51.00,gCO2e/kWh,,, $65.00 ,/MTCO2e,,,,User defined field: Taken from an annual total as noted on energy bills for the building. This should have an auditable paper trail,
28,T.3.2,Total Fossil Gas Use,0.00,m3/yr,0.00,0.00,0.00,m3/yr,0.00,0.00,"1,921.00",gCO2e/m3,,, $440.69 ,/yr OpEx,,,,User defined field: Taken from an annual total as noted on energy bills for the building. This should have an auditable paper trail,
29,T.3.3,Total Propane Use,0.00,kg/yr,0.00,0.00,0.00,kg/yr,0.00,0.00,"2,970.00",gCO2e/kg,,,"$25,403.18",/Embodied,,,,User defined field: Taken from an annual total as noted on energy bills for the building. This should have an auditable paper trail. https://www.canada.ca/en/environment-climate-change/services/climate-change/pricing-pollution-how-it-will-work/output-based-pricing-system/federal-greenhouse-gas-offset-system/emission-factors-reference-values.html,
30,T.3.4,Total Oil Use,0.00,litres/yr,0.00,0.00,0.00,litres/yr,0.00,0.00,"2,753.00",gCO2e/litre,,,,,,,,User defined field: Taken from an annual total as noted on energy bills for the building. This should have an auditable paper trail,
31,T.3.5,Total Wood Use,0.00,m3/yr,0.00,0.00,0.00,m3/yr,0.00,0.00,150.00,kgCO2e/m3,,,,,,,,User defined field: Taken from an annual total as noted on energy bills for the building. This should have an auditable paper trail,
32,E.1.1,Operational GHG & Energy Subtotals,,,"132,938.00","6,779.84",,,"132,765.65","6,771.05",,,,,,,,,,,
33,T.3.6,Total Net Energy,478.58,GJ/yr,,,477.96,GJ/yr,,,,,,,,,,,,User defined field: Taken from an annual total as noted on energy bills for the building. This should have an auditable paper trail,
34,T.3.7,Annual Percapita Energy,"1,055.06",kWh Actual,3.80,GJ Actual,"1,053.70",kWh Target,3.79,GJ Target,53.74,kWh/pp,,,,,,,,,
