Location,Elev ASL (m),Design Temperature,,,,,,Degree-Days Below 18°C,Degree-Days Below 15°C,FUTURE HDD 2021-2050 Ensemble Mean Degree-Days Below 18°C,"PRESENT CDD 2021 Degree-Days Above 24°C
DK. BLUE = USER MUST DEFINE BLUE=REF VALID","FUTURE CDD 2021-2050 EnsMean Degree-Days Above 24°C
DK. BLUE = USER MUST DEFINE BLUE=REF VALID","2021-2050 Days
Over 30°C
GREEN = USER MUST DEFINE BLUE=REF VALID","1991-2020 Extreme Max  °C
GREEN = USER MUST DEFINE BLUE=REF VALID",15 Min. Rain mm,15 Min. Rain mm (NEW),One Day Rain 1/50 mm,One Day Rain 1/50 mm (NEW),Ann. Rain mm,Ann. Rain mm (NEW),Moist. Index (NEW),Ann. Tot. Ppn. mm,Ann. Tot. Ppn. mm (NEW),Driving Rain Wind Pressures Pa 1/5,Driving Rain Wind Pressures Pa 1/5 (NEW),Snow Load kPa 1/50,,Snow Load kPa 1/1000,,Hourly Wind Pr. kPa,Hourly Wind Pressures kPa (NEW),,,,Winter Average,,Summer Average (TEUI3 ADDED COLUMN - VALUES NEEDED),Summer Average (TEUI3 ADDED COLUMN - VALUES NEEDED),Cooling Season Mean RH% at 15h00 LST
,,January,,July 2_5%,,July 2_5%,July 2_5%,,,,,,,,,,,,,,,,,,,Ss,Sr,Ss,Sr,1/10,1/10 (NEW),1/50,1/50 (NEW),1/500,Temp. °C,Wind Speed m/s,1991-2020 Climate Normals (https://climate.weather.gc.ca/climate_normals/index_e.html) Cooling Seasonal Average (June-Sept) Dry °C,Seasonal Average Wet °C,
,,2_5% °C,1% °C,Historical,,Future,Future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JavaScript Notation,Elevation_ASL,January_2_5,January_1,July_2_5_Tdb,July_2_5_Twb,Future_July_2_5_Tdb,Future_July_2_5_Twb,HDD18,HDD15,HDD18_2021_2050,CDD24,CDD24_2021_2050,Over_30Tdb_2021_2050,Extreme_Hot_Tdb_1991_2020,Rain_15_min_mm,Rain_15_min_mm_New,Rain_1_day_1/50mm,Rain_1_day_1/50mm_New,Rain_Annual_mm,Rain_Annual_mm_New,Moisture_Index_New,Precip_Annual_mm,Precip_Annual_mm_New,Driving_Rain_Wind_Pa_1/5,Driving_Rain_Wind_Pa_1/5_New,Snow_kPa_1/50_Ss,Snow_kPa_1/50_Sr,Snow_kPa_1/1000_Ss,Snow_kPa_1/1000_Sr,Wind_Hourly_kPa_1/10,Wind_Hourly_kPa_1/10_New,Wind_Hourly_kPa_1/50,Wind_Hourly_kPa_1/50_New,Wind_Hourly_kPa_1/500_New,Winter_Tdb_Avg,Winter_Windspeed_Avg,Summer_Tdb_Avg,Summer_Twb_Avg,Summer_RH_1500_LST
British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Mile House,1040,-30,-32,29,17,34,21,5030,4040,4530,666,666,666,666,10,13,48,61,300,450,0.4,425,530,60,80,2.6,0.3,3.7,0.4,0.27,0.3,0.35,0.39,0.55,-7,2.8,21,21,
Abbotsford,70,-8,-10,29,20,35,25,2860,2000,2360,666,666,666,666,12,15,112,140,1525,1690,1.6,1600,1630,160,170,2,0.3,3.2,0.5,0.33,0.36,0.44,0.48,0.68,-3,3.7,25,25,
Agassiz,15,-9,-11,31,21,37,26,2750,1900,2250,666,666,666,666,8,10,128,162,1650,2100,1.8,1700,1750,160,180,2.4,0.7,3.8,1.1,0.35,0.39,0.47,0.52,0.77,-4,5.1,26,26,
Alberni,12,-5,-8,31,19,37,24,3100,2220,2600,666,666,666,666,10,12,144,178,1900,2130,2.2,2000,2140,220,240,2.6,0.4,4.2,0.6,0.24,0.26,0.32,0.35,0.5,-2,1,24,24,
Ashcroft,305,-24,-27,34,20,39,24,3700,2790,3200,666,666,666,666,10,13,37,47,250,380,0.3,300,370,80,110,1.7,0.1,2.5,0.2,0.29,0.32,0.38,0.42,0.61,-5,1.1,24,24,
Bamfield,20,-2,-4,23,17,28,21,3080,2060,2580,666,666,666,666,13,16,170,208,2870,3060,3.2,2890,3010,280,300,1,0.4,1.6,0.7,0.38,0.42,0.5,0.55,0.77,-2,2,21,21,
Beatton River,840,-37,-39,26,18,31,22,6300,5230,5800,666,666,666,666,15,19,64,81,330,430,0.5,450,540,80,90,3.3,0.1,4.6,0.1,0.23,0.25,0.3,0.33,0.47,-12,2.5,22,22,
Bella Bella,25,-5,-7,23,18,28,22,3180,2150,2680,666,666,666,666,13,16,145,180,2715,2990,3.4,2800,2910,350,380,2.6,0.8,4.2,1.3,0.4,0.44,0.5,0.55,0.73,-2,2.5,22,22,
Bella Coola,40,-14,-18,27,19,33,24,3560,2660,3060,666,666,666,666,10,13,140,183,1500,2240,2.3,1700,1810,350,420,4.5,0.8,7,1.2,0.29,0.32,0.39,0.43,0.61,-3,2.1,24,24,
Burns Lake,755,-31,-34,26,17,32,22,5450,4430,4950,666,666,666,666,12,15,54,69,300,460,0.6,450,550,100,120,3.4,0.2,4.8,0.3,0.29,0.32,0.39,0.43,0.64,-8,1,22,22,
Cache Creek,455,-24,-27,34,20,39,24,3700,2790,3200,666,666,666,666,10,13,37,47,250,370,0.3,300,380,80,110,1.7,0.2,2.5,0.3,0.29,0.32,0.39,0.43,0.64,-5,1.1,24,24,
Campbell River,20,-5,-7,26,18,32,23,3000,2130,2500,666,666,666,666,10,13,116,145,1500,1800,1.7,1600,1740,260,280,2.8,0.4,4.5,0.7,0.41,0.45,0.48,0.53,0.65,-3,2,23,23,
Carmi,845,-24,-26,31,19,36,23,4750,3770,4250,666,666,666,666,10,13,64,81,325,490,0.5,550,660,60,80,3.6,0.2,5.2,0.3,0.29,0.3,0.38,0.4,0.58,-4,2.5,23,23,
Castlegar,430,-18,-20,32,20,37,24,3580,2680,3080,666,666,666,666,10,13,54,69,560,820,0.8,700,780,60,70,4.2,0.1,6,0.1,0.26,0.27,0.34,0.36,0.52,-4,2,24,24,
Chetwynd,605,-35,-38,27,18,33,22,5500,4480,5000,666,666,666,666,15,19,70,88,400,520,0.6,625,740,60,70,2.4,0.2,3.5,0.3,0.3,0.33,0.4,0.44,0.65,-9,2.2,22,22,
Chilliwack,10,-9,-11,30,20,36,25,2780,1920,2280,666,666,666,666,8,10,139,175,1625,1970,1.8,1700,1750,160,180,2.2,0.3,3.5,0.5,0.35,0.39,0.47,0.52,0.74,-4,4.5,25,25,
