Table 13,,,,,,Table 13
Base β,Diagonal δ,Squared diagonal δ2,Simplified base b,Simplified diagonal d,Row,Base β
0.99166666,1.40833333,1.98340277,119,169,1,0.99166666
0.97424768,1.39612268,1.94915855,3367,4825,2,0.97424768
0.95854166,1.38520833,1.91880212,4601,6649,3,0.95854166
0.94140740,1.37340740,1.88624790,12709,18541,4,0.94140740
0.90277777,1.34722222,1.81500771,65,97,5,0.90277777
0.88611111,1.33611111,1.78519290,319,481,6,0.88611111
0.84851851,1.31148148,1.71998367,2291,3541,7,0.84851851
0.83229166,1.30104166,1.69270941,799,1249,8,0.83229166
0.80166666,1.28166666,1.64266944,481,769,9,0.80166666
0.76558641,1.25941358,1.58612256,4961,8161,10,0.76558641
0.75,1.25,1.5625,45,75,11,0.75
0.69958333,1.22041666,1.48941684,1679,2929,12,0.69958333
0.67083333,1.20416666,1.45001736,161,289,13,0.67083333
0.65592592,1.19592592,1.43023882,1771,3229,14,0.65592592
0.62222222,1.17777777,1.38716049,28,53,15,0.62222222
0.60763888,1.17013888,1.36922501,175,337,16,0.60763888
0.54745370,1.14004629,1.29970555,473,985,17,0.54745370
0.53333333,1.13333333,1.28444444,8,17,18,0.53333333
0.50135802,1.11864197,1.25135986,4061,9061,19,0.50135802
0.4875,1.1125,1.23765625,39,89,20,0.4875
0.46125,1.10125,1.21275156,369,881,21,0.46125
0.41666666,1.08333333,1.17361111,5,13,22,0.41666666
0.40324074,1.07824074,1.16260309,871,2329,23,0.40324074
0.37277777,1.06722222,1.13896327,671,1921,24,0.37277777
0.35954861,1.06267361,1.12927520,2071,6121,25,0.35954861
0.34756944,1.05868055,1.12080451,1001,3049,26,0.34756944
0.33444444,1.05444444,1.11185308,301,949,27,0.33444444
0.30462962,1.04537037,1.09279921,329,1129,28,0.30462962
0.29166666,1.04166666,1.08506944,7,25,29,0.29166666
0.249375,1.030625,1.06218789,399,1649,30,0.249375
0.225,1.025,1.050625,9,41,31,0.225
0.18333333,1.01666666,1.03361111,11,61,32,0.18333333
0.17071759,1.01446759,1.02914449,295,1753,33,0.17071759
0.11805555,1.00694444,1.01393711,17,145,34,0.11805555
0.10555555,1.00555555,1.01114197,19,181,35,0.10555555
0.07703703,1.00296296,1.00593470,52,677,36,0.07703703
0.06458333,1.00208333,1.00417100,31,481,37,0.06458333
