ExcelRow,RowID,Description,FieldID,Value,Units
S.3,S.3,Carbon Benchmarking Standard,h_15,1427.2,
E.1.3,E.1.3,Lifetime Avoided (B6) Emissions,i_41,345.82,
S.1,S.1,Reference Standard,h_13,50,
S.1,S.1,Reference Standard,d_13,OBC SB10 5.5-6 Z6,
B.1,B.1,Major Occupancy,d_12,A-Assembly,
B.1,B.1,Major Occupancy,h_12,2028,
B.1,B.1,Major Occupancy,l_12,$0.1300,
S.1,S.1,Reference Standard,l_13,$0.5070,
S.2,S.2,Actual (Bills) or Targeted (Design) Use,d_14,Utility Bills,
S.2,S.2,Actual (Bills) or Targeted (Design) Use,h_14,Three Feathers Terrace,
S.2,S.2,Actual (Bills) or Targeted (Design) Use,l_14,$1.6200,
S.3,S.3,Carbon Benchmarking Standard,d_15,Self Reported,
S.3,S.3,Carbon Benchmarking Standard,l_15,$180.00,
S.4,S.4,Embodied Carbon Target (kgCO₂e/m²),i_16,"Thomson Architecture, Inc.",
S.4,S.4,Embodied Carbon Target (kgCO₂e/m²),l_16,$1.5000,
L,L,i_17,i_17,8154,
L.1.1,L.1.1,Province,d_19,ON,
L.1.1,L.1.1,Province,h_19,Alexandria,
L.1.1,L.1.1,Province,m_19,120,
L.2.1,L.2.1,Heating Degree Days (HDD),h_20,Present,
L.2.3,L.2.3,Cooling Degree Days (CDD),h_21,Capacitance,
L.2.3,L.2.3,Cooling Degree Days (CDD),i_21,50,
L.2.4,L.2.4,Ground Facing GF HDD,l_22,80,
L.3.2,L.3.2,Hottest Days (Location Specific),l_24,24,
T.3.1,T.3.1,Total Electricity Use,d_27,"132,938.00",
T.3.1,T.3.1,Total Electricity Use,l_27,133,
T.3.2,T.3.2,Total Fossil Gas Use,d_28,0.00,
T.3.2,T.3.2,Total Fossil Gas Use,l_28,"1,921.00",
T.3.3,T.3.3,Total Propane Use,d_29,0.00,
T.3.3,T.3.3,Total Propane Use,l_29,"2,970.00",
T.3.4,T.3.4,Total Oil Use,d_30,0.00,
T.3.4,T.3.4,Total Oil Use,l_30,"2,753.00",
T.3.5,T.3.5,Total Wood Use,d_31,0.00,
T.3.5,T.3.5,Total Wood Use,l_31,150.00,
T.3.8,T.3.8,Primary Energy,h_35,1.0,
E.3.1,E.3.1,Typology-Based Carbon Intensity (A1-3),d_39,Pt.3 Mass Timber,
R.1,R.1,Onsite Energy Subtotals,m_43,0.00,
R.2,R.2,Photovoltaics,d_44,0.00,
R.2,R.2,Photovoltaics,i_44,0.00,
R.3,R.3,Wind,d_45,0.00,
R.3,R.3,Wind,k_45,0.00,
R.4,R.4,Remove EV Charging from TEUI,d_46,0.00,
R.4,R.4,Remove EV Charging from TEUI,i_46,0.00,
W.1.0,W.1.0,Total Hot+Cold Water Use (Method),d_49,User Defined,
W.1.0,W.1.0,Total Hot+Cold Water Use (Method),e_49,40.00,
W.1.2,W.1.2,DHW Use (40% of W.1.0),d_50,"10,000.00",
W.3.1,W.3.1,DHW or SHW Energy Source,d_51,Heatpump,
W.4,W.4,DHW or SHW Efficiency Factor (EF),d_52,300,
W.5.1,W.5.1,Drain Water Heat Recovery Efficiency,d_53,0,
A.2,A.2,Radon (annual avg.),d_56,50,
A.3,A.3,CO2 (annual avg.),d_57,550,
A.4,A.4,TVOC (annual avg.),d_58,100,
A.5,A.5,Rel. Indoor Humidity (annual avg.),d_59,45,
A.6,A.6,Atmospheric Offsets,d_60,0.00,
G.1.1,G.1.1,Occupants per Building (declared),d_63,126,
G.1.1,G.1.1,Occupants per Building (declared),g_63,12,
G.1.2,G.1.2,Occupant Activity,d_64,Normal,
P.2,P.2,Lighting Loads,d_66,1.5,
P.3.1,P.3.1,Equipment Loads,g_67,Efficient,
P.3.2,P.3.2,Elevator Loads (W/m² → Eqpt Gains),d_68,No Elevators,
G.7,G.7,Doors,d_73,7.50,
G.7,G.7,Doors,e_73,Average,
G.7,G.7,Doors,f_73,50,
G.7,G.7,Doors,g_73,0,
G.7,G.7,Doors,h_73,100,
G.8.1,G.8.1,Window Area North,d_74,81.14,
G.8.1,G.8.1,Window Area North,e_74,North,
G.8.1,G.8.1,Window Area North,f_74,50,
G.8.1,G.8.1,Window Area North,g_74,0,
G.8.1,G.8.1,Window Area North,h_74,100,
G.8.2,G.8.2,Window Area East,d_75,3.83,
G.8.2,G.8.2,Window Area East,e_75,East,
G.8.2,G.8.2,Window Area East,f_75,50,
G.8.2,G.8.2,Window Area East,g_75,0,
G.8.2,G.8.2,Window Area East,h_75,100,
G.8.3,G.8.3,Window Area South,d_76,159.00,
G.8.3,G.8.3,Window Area South,e_76,South,
G.8.3,G.8.3,Window Area South,f_76,50,
G.8.3,G.8.3,Window Area South,g_76,0,
